Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code
SALT Restaurant & Bar,Marina Del Rey,"Salt, located at the Waterfront Marina Del Rey Hotel, offers stunning marina views and a menu that transforms timeless dishes into modern, flavorful creations with seasonal ingredients from local land and sea. ","13534 Bali Way, Marina Del Rey, CA 90292",(424) 289-8223,$$,Contemporary American / Seafood,Casual,No,No,4.2,"Daily (breakfast, lunch, & dinner)",Yes,No
Odyssey,Granada Hills,"With its captivating views of the San Fernando Valley. Odyssey has curated a dining experience including a new steak-forward seasonal menu, refreshing cocktails, along with a shaded outdoor patio & skyline boardwalk.","15600 Odyssey Dr, Granada Hills, CA 91344",(818) 366-6444,$$$,New American / Steakhouse,Smart-Casual,Yes,No,4.3,Mon-Tue 4:30pm-9pm / Wed-Fri 11:30pm-9pm / Sat-Sun 10:30am-9pm,Yes,No
Uca Terraza,Downtown Los Angeles,"This Delphi Hotel's rooftop oasis inspired by the vibrant beach clubs of Tulum. Featuring elevated Yucatán-inspired cuisine & handcrafted cocktails, ÜCA offers a serene yet energetic atmosphere high above DTLA.","550 Flower St, Los Angeles, CA 90071",(213) 439-3013,$$,New American / Latin,Casual,Yes,No,3.8,Sun-Wed 4pm-11pm / Thurs-Sat 4pm-12am / Sun 4pm-10pm ,No,No
Sampa Los Angeles,Downtown Los Angeles,Sampa is a trendy eatery in Downtown L.A's Arts District with a evolutionary focus on elevated Filipino-American cuisine and creative cocktails.,"449 S Hewitt St, Los Angeles, CA 90013",(213) 935-8119,$$$$,Asian / New American,Trendy,No,Michelin-Selected,4.5,Tue-Thurs 5pm-10pm / Fri-Sat 5pm-11pm / Sun 10am-10:00pm,Reservation Only,No
RVR,Venice,RVR is an all-day Japanese Izakaya / Tavern which combines the epic traditions of everyday Japanese drinking fare with the abundant and colorful bounty of California seasonal produce and local fisheries.,"1305 Abbot Kinney Blvd, Venice, CA 90291",(310) 573-8077,$$,Japanese Izakaya,Casual,No,No,4.1,Mon-Thurs 5pm-11pm / Fri-Sat 11am-11pm / Sun 11am-10:00pm,Yes,No
Laurel Hardware,West Hollywood,"Hip farm-to-table restaurant in a former hardware store serving a seasonal, organic, farmers' market menu with signature craft cocktails from a fully stocked bar.","7984 Santa Monica Blvd, West Hollywood, CA 90046",(323) 656-6070,$$$,New American,Trendy,No,No,3.9,Mon-Wed 5pm-11:30pm / Thurs-Fri 5pm-12am / Sat-Sun 12pm-11pm,No,No
Crustacean ,Beverly Hills,"Renowned seafood & creative Vietnamese fare dished up in chic digs with an attention-getting aquarium. Experience the delicious menu, crafted by Chef Helene An, the “Mother of Fusion"" Cuisine.”","468 N Bedford Dr, Beverly Hills, CA 90210",(310) 205-8990,$$$$,Asian / Vietnamese,Fine-Dining,No,Michelin-Selected,4.7,Wed-Sat 12pm-8pm / Tue-Sun 5pm-9:30pm / Sun 11:30am-3pm,Reservation Only,Yes
Mainro (MainR6),Hollywood,Hollywood's newest restaurant & supper club that provides a senses-stimulating experience that's smart & sophisticated. MainRo perfectly blends the restaurant and nightlife scene into one venue.,"6350 Hollywood Blvd, Los Angeles, CA 90028",(323) 378-6778,$$$$,Asian Fusion,Trendy / Vibrant,No,No,4.1,Wed-Thurs 7:30pm-1am / Fri-Sat 6:30pm-2am,Reservation Only,Yes
Broken Spanish Comedor,Culver City,"This spot is a neighborhood offshoot of Broken Spanish with the same qualiy but with a community-centric approach, offering food that balances refinement, comfort and is rooted in California’s modern sensibilities. ","12565 Washington Blvd, Los Angeles, CA 90066",(747) 946-7118,$$$,New Mexican,Trendy / Casual,No,No,4.7,"Daily (brunch, happy hour, & dinner)",No,No
Night We Met,Los Angeles,"Located in the Wilshire LaBrea Apartments & Opened by the duo behind Met Her at a Bar, it features a romantic, vibrant atmosphere illuminated by hundreds of glowing lanterns and delicious Pan-Asian cuisine.","788 S La Brea Ave, Los Angeles, CA 90036",(323) 424-3108,$$$,Pan Asian,Romantic / Smart-Casual,No,No,4.4,Mon-Thurs 5pm-11:30pm / Fri 5pm-1am / Sat-Sun 11am-1am,No,Yes
Sora Craft Kitchen,Downtown Los Angeles,"A one-man show run by Chef Okay Inak. This Turkish-born chef has a fine dining pedigree but runs this DTLA spot entirely on his own, turning out hearty, honest Anatolian/Turkish dishes with modern techniques.","1109 East 12th Street, Los Angeles, CA 90021",(213) 537-0654,$$$,Turkish,Romantic / Smart-Casual,No,Michelin-Selected,4.8,Thurs-Sun 5pm-10pm,Reservation Only,Yes
Delilah,West Hollywood,Delilah brings a modern approach to the vibes of the roaring ‘20s. Lavish chandeliers hang overhead and olive green furniture offer increased comfort as guests dine on elegant American fare by a crackling fireplace. ,"7969 Santa Monica Blvd, West Hollywood, CA 90046",(323) 745-0600,$$$,New American,Upscale / Fine-Dining,No,No,4.1,Tue-Sun 6:30pm-2am,Reservation Only,Yes
Catch LA,West Hollywood,"Catch LA enters a new era with a renewed food-first mentality and a sharpened focus on service & experience. The restaurant debuts a refreshed design alongside an evolved menu built around its iconic seafood, steak, and sushi program, with fish flown in from Tokyo’s Toyosu Market","8715 Melrose Ave, West Hollywood, CA 90069",(323) 347-6060,$$$,Japanese /  New American,Romantic / Smart-Casual,Yes,No,4.7,Mon-Wed 6pm-9pm / Thurs 6pm-10pm / Fri-Sat 5:30pm-10:30pm / Sun 6pm-9:30pm,Yes,Yes
