Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code,restaurant_metadata,simple_cuisine_group,dining_format,predicted_occasion,occasion_confidence,predicted_vibe,vibe_confidence,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise,dominant_emotion,overall_sentiment,sentiment_score,dining_mood
Maccheroni Republic,Downtown Los Angeles,A Michelin Bib Gourmand Italian-American trattoria offering rustic handmade pastas and classic Italian dishes in a warm casual setting.,"332 S Broadway, Los Angeles, CA 90013",(213) 346-9725,$$,Italian-American,Casual,No,Bib-Gourmand,4.5,Daily (lunch & dinner),Yes,No,"Maccheroni Republic is a Italian-American restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Bib Gourmand Italian-American trattoria offering rustic handmade pastas and classic Italian dishes in a warm casual setting. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.5/5 Cuisine Group: Italian. Dining Format: A La Carte / Casual. Best For: Casual Night Out. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Italian,A La Carte / Casual,Casual Night Out,0.2891,Cozy & Relaxed,0.5771,0.006,0.0842,0.0194,0.8756,0.9259,0.0289,0.0875,neutral,Neutral,0.5199,Warm & Inviting
The Factory Kitchen,Downtown Los Angeles,A Michelin Bib Gourmand Italian restaurant in the Arts District known for its exceptional handmade pasta and wood-fired dishes in an industrial-chic space.,"1300 Factory Pl, Los Angeles, CA 90013",(213) 996-6000,$$,Italian,Trendy,No,Bib-Gourmand,4.6,Mon-Sat (lunch & dinner),Yes,No,"The Factory Kitchen is a Italian restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Bib Gourmand Italian restaurant in the Arts District known for its exceptional handmade pasta and wood-fired dishes in an industrial-chic space. Price range: $$. Atmosphere: Trendy. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.6/5 Cuisine Group: Italian. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,Full Service,Special Occasion,0.3451,Refined & Elegant,0.4705,0.012,0.4099,0.0194,0.8773,0.9576,0.0377,0.0847,neutral,Positive,0.7266,Elegant & Refined
Pizzeria Bianco,Downtown Los Angeles,A Michelin Bib Gourmand outpost of the legendary Phoenix pizzeria from Chris Bianco offering wood-fired artisan pizzas with exceptional house-made ingredients.,"1320 E 7th St, Suite 100, Los Angeles, CA 90021",(213) 372-5755,$$,Pizza,Casual,No,Bib-Gourmand,4.7,Wed-Sun (lunch & dinner),Yes,No,"Pizzeria Bianco is a Pizza restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Bib Gourmand outpost of the legendary Phoenix pizzeria from Chris Bianco offering wood-fired artisan pizzas with exceptional house-made ingredients. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.7/5 Cuisine Group: Italian. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,A La Carte / Casual,Special Occasion,0.271,Cozy & Relaxed,0.4127,0.0097,0.0842,0.0194,0.7591,0.9259,0.0289,0.123,neutral,Positive,0.6407,Warm & Inviting
Tsubaki,Echo Park,A Michelin Bib Gourmand Japanese restaurant and bar offering a refined izakaya menu with Japanese whisky cocktails in a modern relaxed setting.,"1356 Allison Ave, Los Angeles, CA 90026",(213) 900-4900,$$,Japanese,Trendy,No,Bib-Gourmand,4.7,Tue-Sun (dinner only),Yes,No,"Tsubaki is a Japanese restaurant located in Echo Park, Los Angeles. A Michelin Bib Gourmand Japanese restaurant and bar offering a refined izakaya menu with Japanese whisky cocktails in a modern relaxed setting. Price range: $$. Atmosphere: Trendy. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.7/5 Cuisine Group: Japanese. Dining Format: Full Service. Best For: Casual Night Out. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Japanese,Full Service,Casual Night Out,0.3765,Refined & Elegant,0.4318,0.012,0.4099,0.0194,0.8544,0.9576,0.0377,0.0827,neutral,Neutral,0.5077,Elegant & Refined
Langer's,Westlake,A Michelin Bib Gourmand iconic LA deli institution celebrated for its hand-cut pastrami sandwiches served since 1947 near MacArthur Park.,"704 S Alvarado St, Los Angeles, CA 90057",(213) 483-8050,$$,Deli,Casual,No,Bib-Gourmand,4.8,Mon-Sat 8am-4pm,No,No,"Langer's is a Deli restaurant located in Westlake, Los Angeles. A Michelin Bib Gourmand iconic LA deli institution celebrated for its hand-cut pastrami sandwiches served since 1947 near MacArthur Park. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.8/5 Cuisine Group: American Casual. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",American Casual,A La Carte / Casual,Special Occasion,0.2884,Refined & Elegant,0.4042,0.012,0.4099,0.0194,0.8124,0.9259,0.0377,0.0594,neutral,Positive,0.8187,Warm & Inviting
Moo's Craft Barbecue,Lincoln Heights,A Michelin Bib Gourmand Texas-style craft barbecue spot from a husband-and-wife team serving brisket smoked low and slow with scratch-made sides.,"2118 N. Broadway, Los Angeles, CA 90031",(323) 686-4133,$$,Barbecue,Casual,No,Bib-Gourmand,4.7,Thu-Sun (lunch only),No,No,"Moo's Craft Barbecue is a Barbecue restaurant located in Lincoln Heights, Los Angeles. A Michelin Bib Gourmand Texas-style craft barbecue spot from a husband-and-wife team serving brisket smoked low and slow with scratch-made sides. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.7/5 Cuisine Group: Steakhouse. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Steakhouse,A La Carte / Casual,Special Occasion,0.2592,Cozy & Relaxed,0.4622,0.0278,0.0842,0.0194,0.7591,0.9259,0.0289,0.0669,neutral,Neutral,0.7922,Warm & Inviting
Rasarumah,Los Angeles,A Michelin Bib Gourmand Malaysian restaurant newly added in 2025 offering authentic and vibrant Malaysian street food dishes in a welcoming atmosphere.,"3107 Beverly Blvd, Los Angeles, CA 90026",(213) 567-3547,$$$,Malaysian,Casual,No,Bib-Gourmand,4.8,Tue-Sun (lunch & dinner),Yes,No,"Rasarumah is a Malaysian restaurant located in Los Angeles, Los Angeles. A Michelin Bib Gourmand Malaysian restaurant newly added in 2025 offering authentic and vibrant Malaysian street food dishes in a welcoming atmosphere. Price range: $$$. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.8/5 Cuisine Group: Asian Fusion. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: joy. Overall Sentiment: Positive.",Asian Fusion,A La Carte / Casual,Special Occasion,0.2903,Cozy & Relaxed,0.682,0.0097,0.0842,0.0194,0.9589,0.9259,0.0289,0.1298,joy,Positive,0.8741,Warm & Inviting
Komal,Los Angeles,A new 2025 Michelin Bib Gourmand Mexican restaurant offering deeply flavored regional Mexican dishes with a focus on corn-based preparations and traditional techniques.,"3655 S Grand Ave Space C-9, Los Angeles, CA 90007",(213) 275-1062,$,Mexican,Casual,No,Bib-Gourmand,4.8,Wed-Sun (lunch & dinner),Yes,No,"Komal is a Mexican restaurant located in Los Angeles, Los Angeles. A new 2025 Michelin Bib Gourmand Mexican restaurant offering deeply flavored regional Mexican dishes with a focus on corn-based preparations and traditional techniques. Price range: $. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.8/5 Cuisine Group: Mexican / Latin. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Mexican / Latin,A La Carte / Casual,Special Occasion,0.3478,Refined & Elegant,0.2865,0.012,0.4099,0.0194,0.265,0.9259,0.0377,0.0767,neutral,Neutral,0.7937,Elegant & Refined
Pine & Crane,Downtown Los Angeles,The 2nd Location of the Michelin Bib Gourmand Taiwanese-inspired restaurant in DTLA offering affordable and flavorful dishes.,"1120 S Grand Ave Unit 101, Los Angeles, CA 90015",(213) 536-5292,$,Asian / Taiwanese,Casual,No,Bib-Gourmand,4.6,Daily (breakfast lunch & dinner),Yes,No,"Pine & Crane is a Asian / Taiwanese restaurant located in Downtown Los Angeles, Los Angeles. The 2nd Location of the Michelin Bib Gourmand Taiwanese-inspired restaurant in DTLA offering affordable and flavorful dishes. Price range: $. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.6/5 Cuisine Group: Asian Fusion. Dining Format: A La Carte / Casual. Best For: Foodie Adventure. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Asian Fusion,A La Carte / Casual,Foodie Adventure,0.2372,Cozy & Relaxed,0.3984,0.0069,0.0842,0.0194,0.915,0.9259,0.0289,0.1101,neutral,Positive,0.6521,Warm & Inviting
Pine & Crane,Silver Lake,A Michelin Bib Gourmand Taiwanese-inspired restaurant in Silver Lake offering affordable and flavorful dishes including scallion pancakes and braised pork rice.,"1521 Griffith Park Blvd, Los Angeles, CA 90026",(323) 668-1128,$,Asian / Taiwanese,Casual,No,Bib-Gourmand,4.6,Daily (lunch & dinner),Yes,No,"Pine & Crane is a Asian / Taiwanese restaurant located in Silver Lake, Los Angeles. A Michelin Bib Gourmand Taiwanese-inspired restaurant in Silver Lake offering affordable and flavorful dishes including scallion pancakes and braised pork rice. Price range: $. Atmosphere: Casual. Michelin Guide: Michelin Bib-Gourmand. Customer Rating: 4.6/5 Cuisine Group: Asian Fusion. Dining Format: A La Carte / Casual. Best For: Foodie Adventure. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Asian Fusion,A La Carte / Casual,Foodie Adventure,0.2551,Cozy & Relaxed,0.3829,0.0069,0.0842,0.0194,0.7591,0.9259,0.0289,0.1101,neutral,Positive,0.5818,Warm & Inviting
71Above,Downtown Los Angeles,A breathtaking contemporary American fine dining restaurant on the 71st floor of the US Bank Tower offering sweeping panoramic views from Malibu to the mountains.,"633 W 5th St 71st Floor, Los Angeles, CA 90071",(213) 712-2683,$$$$,Contemporary American,Fine-Dining,Yes,No,4.7,Tue-Sun (dinner only),Yes,Yes,"71Above is a Contemporary American restaurant located in Downtown Los Angeles, Los Angeles. A breathtaking contemporary American fine dining restaurant on the 71st floor of the US Bank Tower offering sweeping panoramic views from Malibu to the mountains. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.7/5. Rooftop/top-floor dining Cuisine Group: Contemporary American. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Contemporary American,Full Service,Special Occasion,0.5223,Refined & Elegant,0.423,0.012,0.4099,0.015,0.862,0.9576,0.0377,0.0724,neutral,Positive,0.8417,Elegant & Refined
CUT by Wolfgang Puck,Beverly Hills,The most acclaimed steakhouse in the US from Wolfgang Puck set inside the Beverly Wilshire Hotel offering prime and wagyu cuts with sleek modern decor.,"9500 Wilshire Blvd, Beverly Hills, CA 90212",(310) 276-8500,$$$$,Steakhouse,Fine-Dining,No,No,5.0,Daily (dinner only),Yes,Yes,"CUT by Wolfgang Puck is a Steakhouse restaurant located in Beverly Hills, Los Angeles. The most acclaimed steakhouse in the US from Wolfgang Puck set inside the Beverly Wilshire Hotel offering prime and wagyu cuts with sleek modern decor. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 5.0/5 Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Foodie Adventure. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Steakhouse,Full Service,Foodie Adventure,0.3657,Refined & Elegant,0.5757,0.0791,0.4099,0.0047,0.566,0.9576,0.0377,0.087,neutral,Positive,0.8974,Elegant & Refined
Osteria Mozza,Hollywood,One of LA's most prestigious Italian dining destinations from Nancy Silverton offering house-made mozzarella tableside and exceptional pastas and wood-fired dishes.,"6602 Melrose Ave, Los Angeles, CA 90038",(323) 297-0100,$$$$,Italian,Fine-Dining,No,No,4.9,Daily (lunch & dinner),Yes,No,"Osteria Mozza is a Italian restaurant located in Hollywood, Los Angeles. One of LA's most prestigious Italian dining destinations from Nancy Silverton offering house-made mozzarella tableside and exceptional pastas and wood-fired dishes. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.9/5 Cuisine Group: Italian. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,Full Service,Special Occasion,0.3842,Refined & Elegant,0.6759,0.012,0.4099,0.0045,0.5157,0.9576,0.0377,0.1041,neutral,Positive,0.8675,Warm & Inviting
Chi Spacca,Hollywood,The most expensive Italian restaurant in LA from the Mozza team specializing in expertly dry-aged meats and Tuscan-inspired dishes in a sophisticated rustic setting.,"6610 Melrose Ave, Los Angeles, CA 90038",(323) 297-1133,$$$$,Italian / Tuscan,Fine-Dining,No,No,5.0,Daily (dinner only),Yes,No,"Chi Spacca is a Italian / Tuscan restaurant located in Hollywood, Los Angeles. The most expensive Italian restaurant in LA from the Mozza team specializing in expertly dry-aged meats and Tuscan-inspired dishes in a sophisticated rustic setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 5.0/5 Cuisine Group: Italian. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,Full Service,Special Occasion,0.4016,Refined & Elegant,0.6488,0.012,0.4099,0.005,0.5277,0.9576,0.0377,0.077,neutral,Positive,0.8317,Warm & Inviting
La Boucherie,Downtown Los Angeles,An elegant American steak and seafood restaurant with floor-to-ceiling panoramic LA skyline views a cheese cave and a Wine Spectator award-winning wine list.,"900 Wilshire Blvd fl 71, Los Angeles, CA 90017",(213) 688-7777,$$$$,Steakhouse,Fine-Dining,Yes,No,4.5,Tue-Sun (dinner only),Yes,Yes,"La Boucherie is a Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. An elegant American steak and seafood restaurant with floor-to-ceiling panoramic LA skyline views a cheese cave and a Wine Spectator award-winning wine list. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.5/5. Rooftop/top-floor dining Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Foodie Adventure. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Steakhouse,Full Service,Foodie Adventure,0.3595,Refined & Elegant,0.6678,0.012,0.4099,0.0049,0.9245,0.9576,0.0377,0.0936,neutral,Positive,0.8563,Elegant & Refined
Mastro's Ocean Club,Malibu,A world-class steakhouse and seafood destination known for highly acclaimed cuisine live entertainment and an elegant yet energetic atmosphere.,"18412 Pacific Coast Hwy., Malibu, CA 90265",(310) 454-4357,$$$$,Steakhouse / Seafood,Fine-Dining,No,No,4.4,Daily (dinner only),Yes,Yes,"Mastro's Ocean Club is a Steakhouse / Seafood restaurant located in Malibu, Los Angeles. A world-class steakhouse and seafood destination known for highly acclaimed cuisine live entertainment and an elegant yet energetic atmosphere. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.4/5 Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Special Occasion. Vibe: Theatrical & Experiential Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Steakhouse,Full Service,Special Occasion,0.3851,Theatrical & Experiential,0.4104,0.0097,0.0283,0.0078,0.928,0.9576,0.0102,0.07,neutral,Positive,0.9574,Dramatic & Exciting
Ocean Prime,Beverly Hills,A sophisticated seafood and steakhouse steps from Rodeo Drive offering chef-curated menus signature handcrafted cocktails and a Wine Spectator honored wine list.,"9595 Wilshire Blvd, Beverly Hills, CA 90212",(310) 859-4818,$$$$,Seafood / Steakhouse,Fine-Dining,No,No,4.7,Daily (lunch & dinner),Yes,Yes,"Ocean Prime is a Seafood / Steakhouse restaurant located in Beverly Hills, Los Angeles. A sophisticated seafood and steakhouse steps from Rodeo Drive offering chef-curated menus signature handcrafted cocktails and a Wine Spectator honored wine list. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.7/5 Cuisine Group: Seafood. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Seafood,Full Service,Special Occasion,0.4429,Refined & Elegant,0.5752,0.012,0.4099,0.0045,0.8843,0.9576,0.0377,0.0512,neutral,Positive,0.5582,Elegant & Refined
Bestia,Downtown Arts District,An iconic LA Italian restaurant from Chef Ori Menashe in an industrial-chic Arts District space offering award-winning house-cured meats pastas and wood-roasted dishes.,"2121 E 7th Pl, Los Angeles, CA 90021",(213) 514-5724,$$$$,Italian,Trendy,No,No,4.8,Daily (dinner only),Yes,No,"Bestia is a Italian restaurant located in Downtown Arts District, Los Angeles. An iconic LA Italian restaurant from Chef Ori Menashe in an industrial-chic Arts District space offering award-winning house-cured meats pastas and wood-roasted dishes. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: No. Customer Rating: 4.8/5 Cuisine Group: Italian. Dining Format: Full Service. Best For: Special Occasion. Vibe: Hip & Trendy Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,Full Service,Special Occasion,0.3684,Hip & Trendy,0.3769,0.0259,0.0264,0.0038,0.6345,0.9576,0.0106,0.1049,neutral,Positive,0.83,Warm & Inviting
Capo,Santa Monica,An elegant candlelit Italian restaurant in Santa Monica offering chef-driven modernist cuisine warm hospitality and prime Flannery steaks in a cozy luxurious atmosphere.,"1810 Ocean Ave, Santa Monica, CA 90401",(310) 394-5550,$$$$,Italian / Modernist,Romantic,No,No,5.0,Tue-Sun (dinner only),Yes,No,"Capo is a Italian / Modernist restaurant located in Santa Monica, Los Angeles. An elegant candlelit Italian restaurant in Santa Monica offering chef-driven modernist cuisine warm hospitality and prime Flannery steaks in a cozy luxurious atmosphere. Price range: $$$$. Atmosphere: Romantic. Michelin Guide: No. Customer Rating: 5.0/5 Cuisine Group: Italian. Dining Format: Full Service. Best For: Special Occasion. Vibe: Cozy & Relaxed Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Italian,Full Service,Special Occasion,0.4305,Cozy & Relaxed,0.3288,0.0097,0.0162,0.0064,0.957,0.9576,0.0154,0.077,neutral,Positive,0.8742,Warm & Inviting
Niku X,Downtown Los Angeles,A high-end Japanese steakhouse experience offering premium A5 Wagyu and a theatrical multi-course dining journey in an intimate upscale setting.,"900 Wilshire Blvd Ste 212, Los Angeles, CA 90017",(323) 920-0302,$$$$$,Japanese / Steakhouse,Fine-Dining,No,No,5.0,Wed-Sun (dinner only),Reservation Only,Yes,"Niku X is a Japanese / Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. A high-end Japanese steakhouse experience offering premium A5 Wagyu and a theatrical multi-course dining journey in an intimate upscale setting. Price range: $$$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 5.0/5 Cuisine Group: Japanese Fusion. Dining Format: Tasting Menu / Omakase. Best For: Foodie Adventure. Vibe: Theatrical & Experiential Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Japanese Fusion,Tasting Menu / Omakase,Foodie Adventure,0.5614,Theatrical & Experiential,0.4601,0.0069,0.0369,0.0078,0.8175,0.914,0.0102,0.0701,neutral,Positive,0.7703,Dramatic & Exciting
Red Fish Restaurant,West Hollywood,A sophisticated West Hollywood restaurant combining premium steaks with exquisite sushi and handcrafted cocktails in an inviting atmosphere with a covered patio.,"8452 Melrose Ave, West Hollywood, CA 90069",(310) 295-9109,$$$$,Steakhouse / Sushi,Trendy,No,No,4.8,Daily (dinner only),Yes,No,"Red Fish Restaurant is a Steakhouse / Sushi restaurant located in West Hollywood, Los Angeles. A sophisticated West Hollywood restaurant combining premium steaks with exquisite sushi and handcrafted cocktails in an inviting atmosphere with a covered patio. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: No. Customer Rating: 4.8/5 Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Positive.",Steakhouse,Full Service,Special Occasion,0.3257,Refined & Elegant,0.3133,0.012,0.4099,0.0045,0.8983,0.9576,0.0377,0.0809,neutral,Positive,0.8907,Elegant & Refined
Maison Kasai at Level 8,Downtown Los Angeles,A 10-seat teppanyaki counter blending French sophistication with Japanese precision featuring A5 Wagyu and lobster with Normandy butter in a theatrical adults-only setting.,"1254 S Figueroa St 8th Floor, Los Angeles, CA 90015",(213) 789-7852,$$$$,Teppanyaki,Fine-Dining,No,No,4.3,Wed-Sun (dinner only),Reservation Only,No,"Maison Kasai at Level 8 is a Teppanyaki restaurant located in Downtown Los Angeles, Los Angeles. A 10-seat teppanyaki counter blending French sophistication with Japanese precision featuring A5 Wagyu and lobster with Normandy butter in a theatrical adults-only setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.3/5 Cuisine Group: Japanese. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Japanese,A La Carte / Casual,Special Occasion,0.4147,Refined & Elegant,0.6261,0.012,0.4099,0.01,0.6889,0.9052,0.0377,0.0955,neutral,Neutral,0.7958,Dramatic & Exciting
San Laurel,Downtown Los Angeles,A contemporary Spanish restaurant located inside the Conrad Los Angeles hotel offering refined Spanish-California cuisine in a stylish Michelin Key hotel setting.,"100 S Grand Ave, Los Angeles, CA 90012",(213) 349-8585,$$$$,Spanish,Fine-Dining,No,No,4.5,Daily (breakfast lunch & dinner),Yes,No,"San Laurel is a Spanish restaurant located in Downtown Los Angeles, Los Angeles. A contemporary Spanish restaurant located inside the Conrad Los Angeles hotel offering refined Spanish-California cuisine in a stylish Michelin Key hotel setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.5/5 Cuisine Group: Spanish. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Elegant & Refined. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Spanish,Full Service,Special Occasion,0.4242,Refined & Elegant,0.6733,0.012,0.4099,0.0045,0.9055,0.9576,0.0377,0.06,neutral,Neutral,0.5336,Elegant & Refined
H&H Brazilian Steakhouse,Downtown Los Angeles,The number one Brazilian steakhouse in Los Angeles offering the highest grade Halal beef lamb and chicken with A5 Wagyu available in a vibrant churrascaria-style setting.,"518 W. 7th St., Los Angeles, CA 90014",(213) 266-8103,$$$$,Brazilian Steakhouse,Fine-Dining,No,No,4.3,Daily (lunch & dinner),Yes,No,"H&H Brazilian Steakhouse is a Brazilian Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. The number one Brazilian steakhouse in Los Angeles offering the highest grade Halal beef lamb and chicken with A5 Wagyu available in a vibrant churrascaria-style setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.3/5 Cuisine Group: Steakhouse. Dining Format: Full Service. Best For: Foodie Adventure. Vibe: Theatrical & Experiential Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Steakhouse,Full Service,Foodie Adventure,0.3726,Theatrical & Experiential,0.4234,0.0076,0.0283,0.0078,0.7328,0.9576,0.0102,0.0697,neutral,Positive,0.8455,Dramatic & Exciting
The Biltmore Los Angeles,Downtown Los Angeles,A historic luxury American dining experience inside the iconic Biltmore Hotel featuring opulent nostalgic decor carved granite bar and gallery-style ambiance.,"506 S Grand Ave, Los Angeles, CA 90071",(213) 624-1011,$$$$,American,Fine-Dining,No,No,4.4,Daily (breakfast lunch & dinner),Yes,No,"The Biltmore Los Angeles is a American restaurant located in Downtown Los Angeles, Los Angeles. A historic luxury American dining experience inside the iconic Biltmore Hotel featuring opulent nostalgic decor carved granite bar and gallery-style ambiance. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.4/5 Cuisine Group: Contemporary American. Dining Format: Full Service. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Warm & Inviting. Dominant Emotion: neutral. Overall Sentiment: Positive.",Contemporary American,Full Service,Special Occasion,0.4027,Refined & Elegant,0.5755,0.012,0.4099,0.0045,0.8369,0.9576,0.0377,0.0873,neutral,Positive,0.8737,Warm & Inviting
Badmaash,Hollywood,A Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting.,"418 N Fairfax Ave, Los Angeles, CA 90036",(213) 281-5185,$$,Indian,Casual,No,Michelin-Selected,4.3,Tue-Sun (lunch & dinner),Yes,No,"Badmaash is a Indian restaurant located in Hollywood, Los Angeles. A Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 4.3/5 Cuisine Group: Asian Fusion. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Dramatic & Exciting. Dominant Emotion: neutral. Overall Sentiment: Neutral.",Asian Fusion,A La Carte / Casual,Special Occasion,0.3044,Refined & Elegant,0.8076,0.012,0.4099,0.0084,0.8985,0.9052,0.0377,0.1139,neutral,Neutral,0.7255,Dramatic & Exciting
Badmaash,Downtown Los Angeles,The 2nd Location of the Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting.,"108 W 2nd St Apt 104, Los Angeles, CA 90012",(213) 221-7466,$$,Indian,Casual,No,Michelin-Selected,3.9,Mon-Fri 11:30am-10pm / Sat-Sun 12pm-10pm,Yes,No,"Badmaash is a Indian restaurant located in Downtown Los Angeles, Los Angeles. The 2nd Location of the Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 3.9/5 Cuisine Group: Asian Fusion. Dining Format: A La Carte / Casual. Best For: Special Occasion. Vibe: Refined & Elegant Dining Mood: Dramatic & Exciting. Dominant Emotion: joy. Overall Sentiment: Neutral.",Asian Fusion,A La Carte / Casual,Special Occasion,0.2895,Refined & Elegant,0.7058,0.012,0.4099,0.0084,0.9054,0.9052,0.0377,0.1206,joy,Neutral,0.7067,Dramatic & Exciting
