Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code,restaurant_metadata
Bestia,Downtown Arts District,An iconic LA Italian restaurant from Chef Ori Menashe in an industrial-chic Arts District space offering award-winning house-cured meats pastas and wood-roasted dishes.,"2121 E 7th Pl, Los Angeles, CA 90021",(213) 514-5724,$$$$,Italian,Trendy,No,No,4.8,Daily (dinner only),Yes,No,"Bestia is a Italian restaurant located in Downtown Arts District, Los Angeles. An iconic LA Italian restaurant from Chef Ori Menashe in an industrial-chic Arts District space offering award-winning house-cured meats pastas and wood-roasted dishes. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: No. Customer Rating: 4.8/5."
Capo,Santa Monica,An elegant candlelit Italian restaurant in Santa Monica offering chef-driven modernist cuisine warm hospitality and prime Flannery steaks in a cozy luxurious atmosphere.,"1810 Ocean Ave, Santa Monica, CA 90401",(310) 394-5550,$$$$,Italian / Modernist,Romantic,No,No,5.0,Tue-Sun (dinner only),Yes,No,"Capo is a Italian / Modernist restaurant located in Santa Monica, Los Angeles. An elegant candlelit Italian restaurant in Santa Monica offering chef-driven modernist cuisine warm hospitality and prime Flannery steaks in a cozy luxurious atmosphere. Price range: $$$$. Atmosphere: Romantic. Michelin Guide: No. Customer Rating: 5.0/5."
Niku X,Downtown Los Angeles,A high-end Japanese steakhouse experience offering premium A5 Wagyu and a theatrical multi-course dining journey in an intimate upscale setting.,"900 Wilshire Blvd Ste 212, Los Angeles, CA 90017",(323) 920-0302,$$$$$,Japanese / Steakhouse,Fine-Dining,No,No,5.0,Wed-Sun (dinner only),Reservation Only,Yes,"Niku X is a Japanese / Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. A high-end Japanese steakhouse experience offering premium A5 Wagyu and a theatrical multi-course dining journey in an intimate upscale setting. Price range: $$$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 5.0/5."
Red Fish Restaurant,West Hollywood,A sophisticated West Hollywood restaurant combining premium steaks with exquisite sushi and handcrafted cocktails in an inviting atmosphere with a covered patio.,"8452 Melrose Ave, West Hollywood, CA 90069",(310) 295-9109,$$$$,Steakhouse / Sushi,Trendy,No,No,4.8,Daily (dinner only),Yes,No,"Red Fish Restaurant is a Steakhouse / Sushi restaurant located in West Hollywood, Los Angeles. A sophisticated West Hollywood restaurant combining premium steaks with exquisite sushi and handcrafted cocktails in an inviting atmosphere with a covered patio. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: No. Customer Rating: 4.8/5."
Maison Kasai at Level 8,Downtown Los Angeles,A 10-seat teppanyaki counter blending French sophistication with Japanese precision featuring A5 Wagyu and lobster with Normandy butter in a theatrical adults-only setting.,"1254 S Figueroa St 8th Floor, Los Angeles, CA 90015",(213) 789-7852,$$$$,Teppanyaki,Fine-Dining,No,No,4.3,Wed-Sun (dinner only),Reservation Only,No,"Maison Kasai at Level 8 is a Teppanyaki restaurant located in Downtown Los Angeles, Los Angeles. A 10-seat teppanyaki counter blending French sophistication with Japanese precision featuring A5 Wagyu and lobster with Normandy butter in a theatrical adults-only setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.3/5."
San Laurel,Downtown Los Angeles,A contemporary Spanish restaurant located inside the Conrad Los Angeles hotel offering refined Spanish-California cuisine in a stylish Michelin Key hotel setting.,"100 S Grand Ave, Los Angeles, CA 90012",(213) 349-8585,$$$$,Spanish,Fine-Dining,No,No,4.5,Daily (breakfast lunch & dinner),Yes,No,"San Laurel is a Spanish restaurant located in Downtown Los Angeles, Los Angeles. A contemporary Spanish restaurant located inside the Conrad Los Angeles hotel offering refined Spanish-California cuisine in a stylish Michelin Key hotel setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.5/5."
H&H Brazilian Steakhouse,Downtown Los Angeles,The number one Brazilian steakhouse in Los Angeles offering the highest grade Halal beef lamb and chicken with A5 Wagyu available in a vibrant churrascaria-style setting.,"518 W. 7th St., Los Angeles, CA 90014",(213) 266-8103,$$$$,Brazilian Steakhouse,Fine-Dining,No,No,4.3,Daily (lunch & dinner),Yes,No,"H&H Brazilian Steakhouse is a Brazilian Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. The number one Brazilian steakhouse in Los Angeles offering the highest grade Halal beef lamb and chicken with A5 Wagyu available in a vibrant churrascaria-style setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.3/5."
The Biltmore Los Angeles,Downtown Los Angeles,A historic luxury American dining experience inside the iconic Biltmore Hotel featuring opulent nostalgic decor carved granite bar and gallery-style ambiance.,"506 S Grand Ave, Los Angeles, CA 90071",(213) 624-1011,$$$$,American,Fine-Dining,No,No,4.4,Daily (breakfast lunch & dinner),Yes,No,"The Biltmore Los Angeles is a American restaurant located in Downtown Los Angeles, Los Angeles. A historic luxury American dining experience inside the iconic Biltmore Hotel featuring opulent nostalgic decor carved granite bar and gallery-style ambiance. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.4/5."
Badmaash,Hollywood,A Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting.,"418 N Fairfax Ave, Los Angeles, CA 90036",(213) 281-5185,$$,Indian,Casual,No,Michelin-Selected,4.3,Tue-Sun (lunch & dinner),Yes,No,"Badmaash is a Indian restaurant located in Hollywood, Los Angeles. A Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 4.3/5."
Badmaash,Downtown Los Angeles,The 2nd Location of the Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting.,"108 W 2nd St Apt 104, Los Angeles, CA 90012",(213) 221-7466,$$,Indian,Casual,No,Michelin-Selected,3.9,Mon-Fri 11:30am-10pm / Sat-Sun 12pm-10pm,Yes,No,"Badmaash is a Indian restaurant located in Downtown Los Angeles, Los Angeles. The 2nd Location of the Michelin Selected modern Indian restaurant blending bold subcontinental flavors with California ingredients in a casual yet refined setting. Price range: $$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 3.9/5."
Redbird,Downtown Los Angeles,A Michelin Selected contemporary American restaurant inside a stunning 1920s cathedral rectory offering seasonal California-inspired cuisine in a dramatic historic setting.,"114 E 2nd St, Los Angeles, CA 90012",(213) 788-1191,$$$,Contemporary,Fine-Dining,No,Michelin-Selected,4.5,Daily (dinner only),Yes,No,"Redbird is a Contemporary restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected contemporary American restaurant inside a stunning 1920s cathedral rectory offering seasonal California-inspired cuisine in a dramatic historic setting. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin-Selected. Customer Rating: 4.5/5."
Sushi Takeda,Little Tokyo,A Michelin Selected traditional Japanese sushi restaurant offering an intimate omakase experience with exceptional seasonal fish and skilled traditional technique.,"123 Astronaut Ellison S Onizuka St ste 307 3rd floor, Los Angeles, CA 90012",(213) 613-0083,$$$$,Japanese,Fine-Dining,No,Michelin-Selected,4.6,Tue-Sat (dinner only),Reservation Only,No,"Sushi Takeda is a Japanese restaurant located in Little Tokyo, Los Angeles. A Michelin Selected traditional Japanese sushi restaurant offering an intimate omakase experience with exceptional seasonal fish and skilled traditional technique. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin-Selected. Customer Rating: 4.6/5."
Baroo,Downtown Los Angeles,A Michelin Selected Korean contemporary restaurant offering fermentation-driven dishes that blur the line between Korean tradition and California innovation.,"905 E 2nd St #109, Los Angeles, CA 90012",(213) 221-7967,$$$$,Korean Contemporary,Trendy,No,Michelin-Selected,4.5,Wed-Sat (dinner only),Reservation Only,No,"Baroo is a Korean Contemporary restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected Korean contemporary restaurant offering fermentation-driven dishes that blur the line between Korean tradition and California innovation. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.5/5."
Damian,Downtown Los Angeles,A Michelin Selected upscale Mexican restaurant from Chef Enrique Olvera offering refined contemporary Mexican cuisine in a sleek and minimalist Arts District setting.,"2132 E 7th Pl, Los Angeles, CA 90021",(213) 270-0178,$$$,Mexican,Fine-Dining,No,Michelin-Selected,4.6,Tue-Sun (dinner only),Yes,No,"Damian is a Mexican restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected upscale Mexican restaurant from Chef Enrique Olvera offering refined contemporary Mexican cuisine in a sleek and minimalist Arts District setting. Price range: $$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin-Selected. Customer Rating: 4.6/5."
Majordomo,Chinatown,A Michelin Selected Asian-influenced restaurant from Chef David Chang offering bold shareable plates and wood-fired meats in a lively industrial Chinatown space.,"1725 Naud St, Los Angeles, CA 90012",(323) 545-4880,$$$,Asian,Trendy,No,Michelin-Selected,4.2,Daily (dinner only),Yes,No,"Majordomo is a Asian restaurant located in Chinatown, Los Angeles. A Michelin Selected Asian-influenced restaurant from Chef David Chang offering bold shareable plates and wood-fired meats in a lively industrial Chinatown space. Price range: $$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.2/5."
Girl & the Goat Los Angeles,Downtown Los Angeles,A Michelin Selected contemporary American restaurant from James Beard Award winner Stephanie Izard offering bold globally-inspired small plates in a vibrant communal setting.,"555-3 Mateo St, Los Angeles, CA 90013",(213) 799-4628,$$$,Contemporary,Trendy,No,Michelin-Selected,4.4,Daily (dinner only),Yes,No,"Girl & the Goat Los Angeles is a Contemporary restaurant located in Downtown Los Angeles, Los Angeles. A Michelin Selected contemporary American restaurant from James Beard Award winner Stephanie Izard offering bold globally-inspired small plates in a vibrant communal setting. Price range: $$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.4/5."
Parks BBQ,Koreatown,A Michelin Selected premier Korean barbecue institution in Koreatown celebrated for its premium USDA prime beef and exceptional tableside grilling experience.,"955 S Vermont Ave Suite G, Los Angeles, CA 90006",(213) 380-1717,$$$,Korean,Casual,No,Michelin-Selected,4.5,Daily (lunch & dinner),Yes,No,"Parks BBQ is a Korean restaurant located in Koreatown, Los Angeles. A Michelin Selected premier Korean barbecue institution in Koreatown celebrated for its premium USDA prime beef and exceptional tableside grilling experience. Price range: $$$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 4.5/5."
Quarters BBQ,Koreatown,A Michelin Selected Korean barbecue restaurant offering high-quality cuts and a lively grilling experience in the heart of Koreatown.,"3465 W 6th St, Los Angeles, CA 90020",(213) 468-0065,$$$,Korean,Casual,No,Michelin-Selected,4.3,Daily (lunch & dinner),Yes,No,"Quarters BBQ is a Korean restaurant located in Koreatown, Los Angeles. A Michelin Selected Korean barbecue restaurant offering high-quality cuts and a lively grilling experience in the heart of Koreatown. Price range: $$$. Atmosphere: Casual. Michelin Guide: Michelin-Selected. Customer Rating: 4.3/5."
Fleming's Steakhouse,Downtown Los Angeles,An upscale steakhouse across from Crypto.com Arena offering seven different prime steak cuts handcrafted cocktails and innovative plant-based options.,"800 W Olympic Blvd, Los Angeles, CA 90015",(213) 745-9911,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Daily (dinner only),Yes,Yes,"Fleming's Steakhouse is a Steakhouse restaurant located in Downtown Los Angeles, Los Angeles. An upscale steakhouse across from Crypto.com Arena offering seven different prime steak cuts handcrafted cocktails and innovative plant-based options. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.6/5."
Aperture at City Club LA,Downtown Los Angeles,A contemporary American restaurant on the 51st floor of City National Plaza offering breathtaking Hollywood Hills and LA skyline views with locally-sourced globally-inspired dishes.,"555 S Flower St 51st Floor, Los Angeles, CA 90071",(213) 620-9662,$$$$,Contemporary American,Fine-Dining,Yes,No,4.2,Mon-Fri (lunch & dinner),Yes,Yes,"Aperture at City Club LA is a Contemporary American restaurant located in Downtown Los Angeles, Los Angeles. A contemporary American restaurant on the 51st floor of City National Plaza offering breathtaking Hollywood Hills and LA skyline views with locally-sourced globally-inspired dishes. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.2/5. Rooftop/top-floor dining."
Steak 48,Beverly Hills,"Steak 48, Founded by the Mastro brothers, is an upscale, contemporary fine-dining steakhouse known for USDA Prime steaks, fresh seafood, and a vibrant atmosphere.","9680 Wilshire Blvd Beverly Hills, CA 90212",(310) 388-0048,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Mon-Fri 5pm-9:45 / Sat-Sun 4pm-9:45pm,Yes,Strict,"Steak 48 is a Steakhouse restaurant located in Beverly Hills, Los Angeles. Steak 48, Founded by the Mastro brothers, is an upscale, contemporary fine-dining steakhouse known for USDA Prime steaks, fresh seafood, and a vibrant atmosphere. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.6/5."
The Arthur J,Manhattan Beach,"The Arthur J is a high-end, mid-century modern steakhouse in Manhattan Beach, CA. it offers a refined yet lively atmosphere featuring a custom wood-fired grill for wet & dry-aged steaks.","903 Manhattan Ave. Manhattan Beach, CA 90266",(310) 878-9620,$$$$,Steakhouse,Fine-Dining,No,No,4.6,Mon-Wed 4pm-9:45pm / Thurs-Sat 4pm-10:45pm / Sun 10am-9:45pm,No,No,"The Arthur J is a Steakhouse restaurant located in Manhattan Beach, Los Angeles. The Arthur J is a high-end, mid-century modern steakhouse in Manhattan Beach, CA. it offers a refined yet lively atmosphere featuring a custom wood-fired grill for wet & dry-aged steaks. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: No. Customer Rating: 4.6/5."
The Belvedere,Beverly Hills,"Located in The Peninsula Beverly Hills Hotel, is a refined, AAA 5-Diamond & Forbes 4-star restaurant offering French-Californian cuisine, focusing on local & sustainable seafood and produce.","9882 S Santa Monica Blvd Ground Floor, Beverly Hills, CA 90212",(310) 975-2736,$$$$$,Mediterranean / French-Californian,Smart-Casual,No,No,4.5,Daily (breakfast lunch & dinner),Yes,No,"The Belvedere is a Mediterranean / French-Californian restaurant located in Beverly Hills, Los Angeles. Located in The Peninsula Beverly Hills Hotel, is a refined, AAA 5-Diamond & Forbes 4-star restaurant offering French-Californian cuisine, focusing on local & sustainable seafood and produce. Price range: $$$$$. Atmosphere: Smart-Casual. Michelin Guide: No. Customer Rating: 4.5/5."
Elephante,Santa Monica,"A premier rooftop restaurant & lounge with stunning, direct Pacific Ocean views. This trendy, upscale spot offers a chic, bohemian aesthetic designed to feel like a beach getaway.","1332 2nd St Rooftop, Santa Monica, CA 90401",(424) 722-8647,$$$$,Italian,Trendy,Yes,Michelin-Selected,4.6,Mon-Thurs 10am-12am / Fri-Sun 9am-1am,Yes,No,"Elephante is a Italian restaurant located in Santa Monica, Los Angeles. A premier rooftop restaurant & lounge with stunning, direct Pacific Ocean views. This trendy, upscale spot offers a chic, bohemian aesthetic designed to feel like a beach getaway. Price range: $$$$. Atmosphere: Trendy. Michelin Guide: Michelin-Selected. Customer Rating: 4.6/5. Rooftop/top-floor dining."
Nobu Malibu,Malibu,"Nobu Malibu is a premier, upscale oceanfront restaurant in Malibu, California, renowned for its Japanese-Peruvian fusion cuisine and stunning, panoramic views of the Pacific Ocean.","22706 Pacific Coast Hwy, Malibu, CA 90265",(310) 317-9140,$$$$$,Japanese / Peruvian,Romantic / Smart-Casual,No,No,4.3,Sun-Thurs 12pm-10pm / Fri-Sat 12pm-11pm,Yes,No,"Nobu Malibu is a Japanese / Peruvian restaurant located in Malibu, Los Angeles. Nobu Malibu is a premier, upscale oceanfront restaurant in Malibu, California, renowned for its Japanese-Peruvian fusion cuisine and stunning, panoramic views of the Pacific Ocean. Price range: $$$$$. Atmosphere: Romantic / Smart-Casual. Michelin Guide: No. Customer Rating: 4.3/5."
Nobu Los Angeles,West Hollywood,"Nobu Los Angeles, located in West Hollywood on La Cienega Boulevard, is a high-end, stylish, and intimate restaurant also known for its Japanese-Peruvian fusion cuisine.","903 N La Cienega Blvd, Los Angeles, CA 90069",(310) 657-5711,$$$$$,Japanese / Peruvian,Trendy / Smart-Casual,No,No,4.3,Sun-Thurs 5:30pm-10pm / Fri-Sat 5:30pm-11pm,Yes,No,"Nobu Los Angeles is a Japanese / Peruvian restaurant located in West Hollywood, Los Angeles. Nobu Los Angeles, located in West Hollywood on La Cienega Boulevard, is a high-end, stylish, and intimate restaurant also known for its Japanese-Peruvian fusion cuisine. Price range: $$$$$. Atmosphere: Trendy / Smart-Casual. Michelin Guide: No. Customer Rating: 4.3/5."
Yamashiro,Hollywood Hills,Yamashiro sits atop The Hollywood Hills with break-taking panoramic views of Los Angeles. The dining experience boasts Asian-inspired dishes & cocktails,"1999 N Sycamore Ave, Los Angeles, CA 90068",(323) 466-5125,$$$$,Japanese / Sushi,Romantic / Smart-Casual,Yes,No,4.3,Mon-Sat 5pm-11pm / Sun 11am-11pm,Yes,Yes,"Yamashiro is a Japanese / Sushi restaurant located in Hollywood Hills, Los Angeles. Yamashiro sits atop The Hollywood Hills with break-taking panoramic views of Los Angeles. The dining experience boasts Asian-inspired dishes & cocktails Price range: $$$$. Atmosphere: Romantic / Smart-Casual. Michelin Guide: No. Customer Rating: 4.3/5. Rooftop/top-floor dining."
LouLou,Santa Monica,"From the exquisite open air outdoor patio, to Pacific Ocean views, LouLou offers an quintessential French & Californian dining experience served in a cosmopolitan venue with ocean & sunset views.","395 Santa Monica Pl #300, Santa Monica, CA 90401",(323) 410-2337,$$$$,French / Mediterranean,Casual,Yes,No,4.3,Mon-Wed 11:30am-11pm / Thurs-Sat 11:30am-12am / Sun 11:30am-10pm,Yes,No,"LouLou is a French / Mediterranean restaurant located in Santa Monica, Los Angeles. From the exquisite open air outdoor patio, to Pacific Ocean views, LouLou offers an quintessential French & Californian dining experience served in a cosmopolitan venue with ocean & sunset views. Price range: $$$$. Atmosphere: Casual. Michelin Guide: No. Customer Rating: 4.3/5. Rooftop/top-floor dining."
